date	Worldwide Profit	Domestic Profit	zero
1	2358918982	335507625	0
2	663420425	9420425	0
3	809439099	173139099	0
4	-15010090	-185710090	0
5	7778100	-201941321	0
6	326581936	-59178064	0
7	632875303	78530303	0
8	1148429045	206929045	0
9	767003568	53003568	0
10	685083686	51959197	0
11	710366855	8366855	0
12	705119788	5119788	0
13	795663875	-8936125	0
14	142085065	-31880000	0
15	361692078	-60631573	0
16	1294479547	398279547	0
17	841215812	198315812	0
18	442999518	66045518	0
19	192341288	-83378510	0
20	537890267	42030663	0
21	1344601030	416601030	0
22	439213485	-35979146	0
23	626519699	192111870	0
24	894039076	35439076	0
25	249359555	24362462	0
26	112241588	-104730270	0
27	96218228	-143766600	0
28	343517357	11080025	0
29	162262558	-134892272	0
30	2007615668	458672302	0
31	869818229	215004880	0
32	1015392272	208992272	0
33	583705001	173524485	0
34	825491110	134191110	0
35	910526981	104360277	0
36	543588329	68488329	0
37	289570996	34770996	0
38	548121534	33921534	0
39	508996336	2853933	0
40	360155383	-8549125	0
41	197562763	-27937237	0
42	588408539	-33887833	0
43	165491792	-74677531	0
44	31201172	-83398828	0
45	114594597	-109240324	0
46	-200000000	-200000000	0
47	928790543	157390543	0
48	2387603	-129812397	0
49	1323860820	161032910	0
50	276978661	38778661	0
51	341514650	12359711	0
52	161040419	-45159581	0
53	125709697	-52144137	0
54	221002906	-88197094	0
55	-12146166	-190000000	0
56	396443126	132604126	0
57	817891358	348345358	0
58	601558145	132023851	0
59	369606532	52282182	0
60	540539572	111710957	0
61	578407328	61407328	0
62	352590994	43808164	0
63	76585882	-39874032	0
64	47784	-106135493	0
65	-180000000	-180000000	0
66	2982519	-131517481	0
67	186406256	-77793744	0
68	556542621	118004164	0
69	206687380	23351526	0
70	127469017	-24798502	0
71	46229335	-61194319	0
72	230545959	-72722490	0
73	-868671	-74710310	0
74	89214660	-86785340	0
75	-23340938	-136637525	0
76	-175000000	-175000000	0
77	601172112	163172112	0
78	453256345	142128345	0
79	543846958	89746958	0
80	533545589	38545589	0
81	149049659	24949659	0
82	231016924	-14863245	0
83	263058296	-19641704	0
84	130150546	-49849454	0
85	34356825	-77543175	0
86	590903876	73395990	0
87	487127828	57527828	0
88	329870991	52581231	0
89	308412677	24412677	0
90	500417894	23017894	0
91	12910315	-62759449	0
92	645623351	161012359	0
93	672584416	132576195	0
94	629952811	78679850	0
95	348172193	40672193	0
96	195408305	-13591695	0
97	169809326	-32490674	0
98	57986320	-96849009	0
99	21674817	-99325183	0
100	263186950	-50613050	0
101	162693413	-67306587	0
102	12297191	-120702809	0
103	297739855	47039855	0
104	557098205	168071806	0
105	1124234980	250738009	0
106	792943935	142004738	0
107	746911078	140013036	0
108	588576929	131553689	0
109	435532684	106393010	0
110	474234272	77946274	0
111	325825484	56459076	0
112	476549695	56445654	0
113	483360018	56360018	0
114	209142722	55343774	0
115	299326618	31030624	0
116	449516844	30010950	0
117	224825760	29883157	0
118	252231063	27243721	0
119	514837547	15249063	0
120	221367328	1867328	0
121	277289109	-10740241	0
122	247501348	-16498652	0
123	340875846	-16624154	0
124	334161265	-16701423	0
125	169542756	-18398938	0
126	137594577	-23368723	0
127	137389685	-30563230	0
128	178015209	-35946241	0
129	151970083	-66329917	0
130	44995215	-67804785	0
131	86527149	-70272851	0
132	55440387	-76896216	0
133	-7575846	-88020320	0
134	-29479911	-94479911	0
135	-110450242	-128607242	0
136	19698948	-134100000	0
137	-150000000	-150000000	0
138	30357126	-84334328	0
139	601921271	71391482	0
140	549713230	64397903	0
141	471102924	32002924	0
142	303191819	26091819	0
143	124806430	-33493570	0
144	161900902	-41587242	0
145	-23328075	-76328075	0
146	289932247	18932247	0
147	245680446	117730019	0
148	414595209	61573391	0
149	301767803	50418803	0
150	230569776	36654505	0
151	144690200	-10265197	0
152	231923060	-17476940	0
153	316810575	-28889425	0
154	63018919	-29450000	0
155	128314513	-74985487	0
156	682706375	264706375	0
157	46068357	-30490201	0
158	-61995584	-106295584	0
159	125644885	-2966115	0
160	108229234	-4822766	0
161	-51868170	-104868170	0
162	693524737	156124737	0
163	438068425	52168425	0
164	226730660	-8069340	0
165	110504574	-11742419	0
166	77912137	-41073614	0
167	151896578	-51971870	0
168	22956466	-70993534	0
169	28790188	-71549530	0
170	474836535	102280354	0
171	235650911	-48649089	0
172	734868047	294668047	0
173	666688549	119538952	0
174	312161562	97471070	0
175	501910531	85434591	0
176	249219973	46819973	0
177	424987477	19260504	0
178	191887208	18415853	0
179	142940870	8540870	0
180	161647919	2147919	0
181	363738435	1538435	0
182	160650494	-11688632	0
183	222831065	-28799956	0
184	243993951	-52408169	0
185	121499665	-69477903	0
186	85080810	-80445998	0
187	-50927536	-96381145	0
188	561920051	153787133	0
189	228648063	10248063	0
190	229546621	-13253379	0
191	1216511219	256011219	0
192	584635885	212135885	0
193	849755371	192575550	0
194	509954103	180411224	0
195	834301070	170001070	0
196	642820459	92536138	0
197	282711549	89949694	0
198	504927761	84837675	0
199	360004754	66204754	0
200	410663443	61848418	0
201	431319450	61740799	0
202	368214888	38214888	0
203	250827709	11142003	0
204	274005706	1477084	0
205	155354826	-11796130	0
206	113300947	-17691672	0
207	86856088	-66122031	0
208	-63305212	-92305212	0
209	-125000000	-125000000	0
210	222141403	137044825	0
211	429588516	95409889	0
212	208711434	62618434	0
213	168215319	11921738	0
214	487987022	4987022	0
215	109545589	-4197404	0
216	107200000	-19185672	0
217	166192091	-26949883	0
218	167913162	-30892765	0
219	45779308	-55263886	0
220	122981799	-61392993	0
221	-12787249	-62287249	0
222	-26605538	-76054234	0
223	43018913	-84181087	0
224	-70371823	-89787380	0
225	-120000000	-120000000	0
226	141751370	-40576965	0
227	912044677	359544677	0
228	733998877	265270577	0
229	533200000	187181125	0
230	444757719	174423425	0
231	301456852	17556852	0
232	63191885	-47844258	0
233	-37371735	-74085932	0
234	19499811	-112500189	0
235	120017848	-69220739	0
236	606392705	164092705	0
237	471570293	140863268	0
238	376124090	76336279	0
239	356437883	42037883	0
240	453066551	32614158	0
241	272288147	24529403	0
242	185279072	20179072	0
243	252989076	15531634	0
244	229479326	15279326	0
245	105300000	3330342	0
246	220780051	-3419949	0
247	98370892	-7391173	0
248	119155503	-11219958	0
249	153880341	-24536691	0
250	67241171	-32777901	0
251	238547523	-38982216	0
252	42364370	-44547688	0
253	-20262809	-48262809	0
254	-33517539	-59973647	0
255	40439315	-61931604	0
256	108853353	-62601587	0
257	-37995841	-85995841	0
258	778217688	206544750	0
259	24818283	-7981717	0
260	-21316034	-50816034	0
261	243623912	39795350	0
262	193815224	35015224	0
263	165997378	-599101	0
264	164065678	-10215799	0
265	-94635231	-98287549	0
266	129343008	-1656992	0
267	354683805	84683805	0
268	259000072	9200072	0
269	109782709	-5395380	0
270	492275385	65220102	0
271	256824714	30024714	0
272	28673154	-74891728	0
273	778979634	161987880	0
274	413815401	101858746	0
275	236495936	83997904	0
276	262211740	80011740	0
277	231323410	73005002	0
278	325373688	62805434	0
279	210650574	48438600	0
280	265291539	46273950	0
281	167985456	30164645	0
282	136827677	24870275	0
283	70936470	19219978	0
284	112956024	18627117	0
285	291976723	16900694	0
286	162794441	7518682	0
287	134387469	1283031	0
288	225478752	117603	0
289	69296573	-10703427	0
290	211979256	-14971808	0
291	-876344	-22766533	0
292	149488115	-24969837	0
293	143388614	-27311386	0
294	178731369	-32368843	0
295	112026975	-33110957	0
296	-3778029	-40524377	0
297	45395745	-41132306	0
298	71377916	-42622084	0
299	39716717	-44324687	0
300	21031113	-45299935	0
301	-30451359	-50561630	0
302	-4744515	-51582150	0
303	-17854621	-59797621	0
304	109461378	-60677456	0
305	-8200000	-61879446	0
306	-2920657	-64946340	0
307	-9977691	-76977691	0
308	-40081578	-82981578	0
309	-86164870	-89837966	0
310	-92905005	-95588898	0
311	-6278566	-99688566	0
312	337040395	104007640	0
313	86124621	-19269500	0
314	439349158	105949158	0
315	784765137	66321843	0
316	64691085	13638745	0
317	199680778	347692	0
318	128050874	-6231697	0
319	74511609	-13437058	0
320	168869158	-31459980	0
321	-29300000	-44197339	0
322	-191546	-50971762	0
323	15623265	-77776735	0
324	842429370	286529370	0
325	1047408667	283845905	0
326	840703179	248548984	0
327	179330185	37144183	0
328	272900000	88166115	0
329	389860185	83760185	0
330	70339667	-21304947	0
331	522726752	169441092	0
332	212249198	-24650802	0
333	-68088638	-69593638	0
334	-73666603	-82166603	0
335	97536838	-32763162	0
336	497247615	160147615	0
337	421329494	155823397	0
338	257425832	136164286	0
339	408438212	119028679	0
340	769701857	106573705	0
341	198600000	65370362	0
342	397519809	53619809	0
343	199660619	42384315	0
344	169736090	35305545	0
345	213498149	30618403	0
346	101091250	20461307	0
347	149373970	12515793	0
348	75748848	10769177	0
349	112910991	10018837	0
350	276072426	9983259	0
351	96049020	-5947238	0
352	113902107	-6922238	0
353	145900000	-11383311	0
354	65750628	-14182006	0
355	101200000	-16790660	0
